"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Name.Basiswert.1","Name.Basiswert.2"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"15 Trudering - Riem",28.2,222,788,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"16 Ramersdorf - Perlach",33.9,496,1465,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"17 Obergiesing - Fasangarten",22.9,70,306,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"18 Untergiesing - Harlaching",17.1,95,557,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",21.1,213,1009,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"20 Hadern",27.2,137,504,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"21 Pasing - Obermenzing",23.7,212,894,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"22 Aubing - Lochhausen - Langwied",26.2,144,549,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"23 Allach - Untermenzing",22.8,85,373,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
"Altersgruppen Familiensprache nichtdeutsch","bis 2 Jahre",2021,"24 Feldmoching - Hasenbergl",34.8,175,503,"betreute Kinder (nichtdeutsche Familiensprache) (bis 2 Jahre)","betreute Kinder (bis 2 Jahre)"
